project_id,rental,floor,room_size,unit_type,project_name_x,completed_on,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi,province,district,Airport Rail Link,BTS Silom Line,BTS Sukhumvit Line,District,Gold Line,Government,Hospital,International School,Market,MRT Blue line,Popular Areas,Road,School,Shopping Mall,Soi,Super Market,University/College,sum_near,date,time,unit_type_id,district_id,price,price_group,price_group_id,rental_group
1,85000,10,110.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,16:01:33,1,5,47500000.0,45000000,26,85000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,15:40:27,1,5,47500000.0,45000000,26,100000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,14:18:16,1,5,47500000.0,45000000,26,100000
1,90000,11,102.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,13:37:04,1,5,47500000.0,45000000,26,90000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,12:34:52,1,5,47500000.0,45000000,26,100000
1,130000,21,112.91,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,12:00:00,1,5,47500000.0,45000000,26,100000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,11:52:56,1,5,47500000.0,45000000,26,100000
1,140000,19,127.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,11:20:00,1,5,47500000.0,45000000,26,100000
1,140000,19,127.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,11:20:00,1,5,47500000.0,45000000,26,100000
1,79000,9,105.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,10:51:35,1,5,47500000.0,45000000,26,75000
1,95000,9,108.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,10:44:18,1,5,47500000.0,45000000,26,95000
1,90000,13,107.96,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,10:41:09,1,5,47500000.0,45000000,26,90000
1,140000,12,131.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,10:38:20,1,5,47500000.0,45000000,26,100000
1,200000,16,160.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:55:26,1,5,47500000.0,45000000,26,200000
1,85000,13,108.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:08:22,1,5,47500000.0,45000000,26,85000
1,90000,11,102.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,90000
1,90000,9,114.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,90000
1,79000,9,105.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,75000
1,145000,19,108.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,130000,24,131.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,90000,11,102.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,90000
1,130000,21,112.91,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,140000,12,135.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,140000,19,127.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,130000,21,112.91,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,140000,12,135.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,140000,19,127.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,130000,21,112.91,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,95000,20,105.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,19:00:00,1,5,47500000.0,45000000,26,95000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/8/2023,14:14:15,1,5,47500000.0,45000000,26,100000
1,130000,21,112.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/7/2023,13:36:07,1,5,47500000.0,45000000,26,100000
1,200000,16,160.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/7/2023,13:36:05,1,5,47500000.0,45000000,26,200000
1,105000,19,107.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/7/2023,13:36:02,1,5,47500000.0,45000000,26,100000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/7/2023,9:29:00,1,5,47500000.0,45000000,26,100000
1,120000,1,107.96,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/6/2023,14:38:21,1,5,47500000.0,45000000,26,100000
1,90000,1,101.05,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/6/2023,14:20:57,1,5,47500000.0,45000000,26,90000
1,140000,19,127.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/3/2023,10:31:13,1,5,47500000.0,45000000,26,100000
1,95000,28,110.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/3/2023,10:31:13,1,5,47500000.0,45000000,26,95000
1,130000,21,112.91,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/3/2023,10:31:13,1,5,47500000.0,45000000,26,100000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,5/31/2023,19:06:21,1,5,47500000.0,45000000,26,100000
1,120000,23,107.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,5/26/2023,20:33:02,1,5,47500000.0,45000000,26,100000
1,200000,16,160.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,5/26/2023,18:39:42,1,5,47500000.0,45000000,26,200000
1,130000,21,112.91,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,5/18/2023,21:23:59,1,5,47500000.0,45000000,26,100000
1,155000,14,140.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,5/4/2023,12:58:51,1,5,47500000.0,45000000,26,150000
1,85000,10,110.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,16:01:33,1,5,47500000.0,45000000,26,85000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,15:40:27,1,5,47500000.0,45000000,26,100000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,14:18:16,1,5,47500000.0,45000000,26,100000
1,90000,11,102.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,13:37:04,1,5,47500000.0,45000000,26,90000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,12:34:52,1,5,47500000.0,45000000,26,100000
1,130000,21,112.91,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,12:00:00,1,5,47500000.0,45000000,26,100000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,11:52:56,1,5,47500000.0,45000000,26,100000
1,140000,19,127.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,11:20:00,1,5,47500000.0,45000000,26,100000
1,140000,19,127.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,11:20:00,1,5,47500000.0,45000000,26,100000
1,79000,9,105.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,10:51:35,1,5,47500000.0,45000000,26,75000
1,95000,9,108.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,10:44:18,1,5,47500000.0,45000000,26,95000
1,90000,13,107.96,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,10:41:09,1,5,47500000.0,45000000,26,90000
1,140000,12,131.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,10:38:20,1,5,47500000.0,45000000,26,100000
1,200000,16,160.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:55:26,1,5,47500000.0,45000000,26,200000
1,85000,13,108.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:08:22,1,5,47500000.0,45000000,26,85000
1,90000,11,102.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,90000
1,90000,9,107.96,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,90000
1,140000,12,131.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,90000,9,114.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,90000
1,79000,9,105.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,75000
1,145000,19,108.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,130000,24,131.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,90000,11,102.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,90000
1,130000,21,112.91,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,140000,12,135.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,140000,19,127.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,130000,21,112.91,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,130000,18,119.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,9:05:00,1,5,47500000.0,45000000,26,100000
1,95000,20,105.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/9/2023,19:00:00,1,5,47500000.0,45000000,26,95000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/8/2023,14:14:15,1,5,47500000.0,45000000,26,100000
1,130000,21,112.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/7/2023,13:36:07,1,5,47500000.0,45000000,26,100000
1,200000,16,160.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/7/2023,13:36:05,1,5,47500000.0,45000000,26,200000
1,105000,19,107.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/7/2023,13:36:02,1,5,47500000.0,45000000,26,100000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/7/2023,9:29:00,1,5,47500000.0,45000000,26,100000
1,120000,1,107.96,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/6/2023,14:38:21,1,5,47500000.0,45000000,26,100000
1,90000,1,101.05,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/6/2023,14:20:57,1,5,47500000.0,45000000,26,90000
1,140000,19,127.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/3/2023,10:31:13,1,5,47500000.0,45000000,26,100000
1,95000,28,110.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/3/2023,10:31:13,1,5,47500000.0,45000000,26,95000
1,130000,21,112.91,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,6/3/2023,10:31:13,1,5,47500000.0,45000000,26,100000
1,120000,10,126.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,5/31/2023,19:06:21,1,5,47500000.0,45000000,26,100000
1,120000,23,107.0,2 Bedroom,185 Ratchadamri,2014,35,265,80,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,Bangkok,Pathum Wan,0,2,2,1,0,4,6,0,2,2,8,9,9,10,0,4,3,62,5/26/2023,20:33:02,1,5,47500000.0,45000000,26,100000
